(1) Tree with depth 2
ID  Actual class  tree-depth2 pred
216             1                 2
217             1                 2
218             1                 1
219             1                 2
220             1                 2
221             1                 2
222             1                 2
223             1                 2
224             1                 1
225             1                 2
226             1                 1

Confusion Matrix (tree-depth2)
Predicted Class   1    2
Actual Class            
1                30   57
2                 8  131

Model Summary (tree-depth2)
Overall accuracy = 0.712

(2) Tree with depth 4
ID  Actual class  tree-depth4 pred
  1             1                 2
  2             1                 1
  3             1                 2
  4             1                 2
  5             1                 2
  6             1                 2
  7             1                 2
  8             1                 1
  9             1                 2
 10             1                 2
 11             1                 2
 12             1                 1
 13             1                 2
 14             1                 2
 15             1                 2
 16             1                 2
 17             1                 2
 18             1                 2
 19             2                 2
 20             2                 2
 21             2                 2
 22             2                 2
 23             2                 2
 24             2                 2
 25             2                 2
 26             2                 2
 27             2                 2
 28             2                 2
 29             2                 2
 30             2                 2
 31             2                 2
 32             2                 2
 33             2                 2
 34             2                 2
 35             2                 2
 36             2                 2
 37             2                 2
 38             2                 2
 39             2                 2
 40             2                 2
 41             2                 1
 42             2                 2
 43             2                 2
 44             2                 2
 45             2                 2
 46             2                 2
 47             2                 2
 48             2                 2
 49             2                 2
 50             2                 1
 51             2                 2
 52             2                 2
 53             2                 2
 54             2                 2
 55             1                 1
 56             1                 2
 57             1                 2
 58             1                 2
 59             1                 2
 60             1                 2
 61             1                 1
 62             1                 2
 63             1                 1
 64             1                 2
 65             1                 2
 66             1                 1
 67             1                 2
 68             1                 1
 69             1                 2
 70             1                 1
 71             1                 2
 72             1                 2
 73             2                 2
 74             2                 2
 75             2                 2
 76             2                 2
 77             2                 2
 78             2                 2
 79             2                 2
 80             2                 2
 81             2                 2
 82             2                 2
 83             2                 2
 84             2                 2
 85             2                 2
 86             2                 2
 87             2                 2
 88             2                 2
 89             2                 2
 90             2                 2
 91             2                 2
 92             2                 2
 93             2                 2
 94             2                 2
 95             2                 2
 96             2                 2
 97             2                 2
 98             2                 2
 99             2                 2
100             2                 2
101             2                 2
102             2                 2
103             2                 2
104             2                 2
105             2                 2
106             2                 2
107             2                 2
108             2                 2
109             1                 2
110             1                 2
111             1                 2
112             1                 1
113             1                 2
114             1                 1
115             1                 2
116             1                 2
117             1                 2
118             1                 2
119             1                 1
120             1                 2
121             1                 2
122             1                 1
123             1                 1
124             1                 1
125             1                 2
126             1                 2
127             2                 1
128             2                 2
129             2                 1
130             2                 2
131             2                 2
132             2                 2
133             2                 2
134             2                 2
135             2                 2
136             2                 2
137             2                 2
138             2                 2
139             2                 2
140             2                 2
141             2                 2
142             2                 2
143             2                 2
144             2                 2
145             2                 2
146             2                 2
147             2                 2
148             2                 2
149             2                 2
150             2                 2
151             2                 2
152             2                 2
153             2                 2
154             2                 2
155             2                 2
156             2                 2
157             2                 1
158             2                 2
159             2                 2
160             2                 2
161             2                 2
162             2                 2
163             1                 2
164             1                 1
165             1                 2
166             1                 2
167             1                 1
168             1                 1
169             1                 2
170             1                 2
171             1                 2
172             1                 2
173             1                 2
174             1                 2
175             1                 2
176             1                 2
177             1                 2
178             1                 2
179             1                 2
180             1                 2
181             2                 2
182             2                 2
183             2                 2
184             2                 2
185             2                 2
186             2                 2
187             2                 2
188             2                 2
189             2                 2
190             2                 2
191             2                 2
192             2                 2
193             2                 2
194             2                 2
195             2                 2
196             2                 1
197             2                 2
198             2                 2
199             2                 2
200             2                 2
201             2                 2
202             2                 2
203             2                 2
204             2                 2
205             2                 2
206             2                 2
207             2                 2
208             2                 1
209             2                 2
210             2                 2
211             2                 2
212             1                 2
213             1                 2
214             1                 2
215             1                 2
216             1                 2
217             1                 2
218             1                 1
219             1                 2
220             1                 2
221             1                 2
222             1                 2
223             1                 1
224             1                 1
225             1                 2
226             1                 2

Confusion Matrix (tree-depth4)
Predicted Class   1    2
Actual Class            
1                21   66
2                 7  132

Model Summary (tree-depth4)
Overall accuracy = 0.677
