ID  Actual class  Resub pred  Pred Prob
 72.0           1.0         1.0      0.166
 73.0           1.0         1.0      0.008
 74.0           1.0         1.0      0.282
 75.0           1.0         2.0      0.996
 76.0           1.0         1.0      0.052
 77.0           2.0         2.0      0.971
 78.0           2.0         2.0      0.977
 79.0           2.0         2.0      0.995
 80.0           2.0         1.0      0.001
 81.0           2.0         1.0      0.499
 82.0           2.0         2.0      0.899
 83.0           2.0         2.0      0.999
 84.0           2.0         1.0      0.359
 85.0           2.0         2.0      0.994
 86.0           2.0         1.0      0.355
 87.0           2.0         2.0      0.758
 88.0           2.0         2.0      0.999
 89.0           2.0         2.0      1.000
 90.0           2.0         2.0      0.813
 91.0           2.0         2.0      0.954
 92.0           2.0         2.0      1.000
 93.0           2.0         2.0      1.000
 94.0           1.0         2.0      0.918
 95.0           1.0         1.0      0.000
 96.0           1.0         1.0      0.001
 97.0           1.0         1.0      0.179
 98.0           1.0         1.0      0.404
 99.0           1.0         1.0      0.000
100.0           1.0         1.0      0.000
101.0           1.0         1.0      0.010
102.0           1.0         1.0      0.002
103.0           1.0         2.0      0.978
104.0           1.0         2.0      0.880
105.0           1.0         2.0      0.562
106.0           1.0         1.0      0.002
107.0           1.0         1.0      0.036
108.0           2.0         2.0      0.961
109.0           2.0         2.0      0.999
110.0           2.0         2.0      0.999
111.0           2.0         1.0      0.243
112.0           2.0         1.0      0.012
113.0           2.0         2.0      0.975
114.0           2.0         2.0      0.995
115.0           2.0         2.0      0.999
116.0           2.0         2.0      0.937
117.0           2.0         2.0      0.999
118.0           2.0         2.0      0.993
119.0           2.0         2.0      0.989
120.0           2.0         2.0      0.993
121.0           2.0         2.0      1.000
122.0           2.0         2.0      0.999
123.0           2.0         2.0      0.999
124.0           2.0         2.0      0.999
125.0           1.0         2.0      0.965
126.0           1.0         1.0      0.000
127.0           1.0         1.0      0.008
128.0           1.0         1.0      0.000
129.0           1.0         2.0      0.886
130.0           1.0         1.0      0.001
131.0           1.0         2.0      0.999
132.0           1.0         2.0      0.898
133.0           1.0         1.0      0.013
134.0           1.0         1.0      0.000
135.0           1.0         2.0      0.988
136.0           1.0         1.0      0.208
137.0           1.0         1.0      0.000
138.0           1.0         1.0      0.001
139.0           2.0         2.0      0.936
140.0           2.0         1.0      0.026
141.0           2.0         2.0      0.994
142.0           2.0         2.0      0.999
143.0           2.0         2.0      0.999
144.0           2.0         2.0      0.938
145.0           2.0         2.0      0.998
146.0           2.0         2.0      0.765
147.0           2.0         2.0      0.998
148.0           2.0         2.0      0.736
149.0           2.0         2.0      0.959
150.0           2.0         2.0      0.979
151.0           2.0         2.0      0.959
152.0           2.0         2.0      0.999
153.0           2.0         2.0      0.955
154.0           2.0         2.0      0.800
155.0           1.0         1.0      0.040
156.0           1.0         1.0      0.000
157.0           1.0         1.0      0.000
158.0           1.0         1.0      0.359
159.0           1.0         1.0      0.008
160.0           1.0         1.0      0.001
161.0           1.0         1.0      0.020
162.0           1.0         2.0      0.953
163.0           1.0         1.0      0.000
164.0           1.0         2.0      0.585
165.0           1.0         1.0      0.003
166.0           1.0         1.0      0.050
167.0           1.0         1.0      0.000
168.0           1.0         1.0      0.000
169.0           2.0         2.0      0.999
170.0           2.0         2.0      1.000
171.0           2.0         1.0      0.254
172.0           2.0         2.0      0.985
173.0           2.0         2.0      0.997
174.0           2.0         2.0      0.985
175.0           2.0         2.0      0.996
176.0           2.0         1.0      0.244
177.0           2.0         2.0      0.999
178.0           2.0         2.0      0.981
179.0           2.0         1.0      0.009
180.0           2.0         1.0      0.000
181.0           2.0         2.0      1.000
182.0           2.0         1.0      0.041
183.0           2.0         2.0      0.873
184.0           2.0         2.0      0.999
185.0           1.0         1.0      0.000
186.0           1.0         1.0      0.456
187.0           1.0         1.0      0.004
188.0           1.0         1.0      0.000
189.0           1.0         2.0      0.625
190.0           1.0         1.0      0.001
191.0           1.0         1.0      0.007
192.0           1.0         1.0      0.009
193.0           1.0         1.0      0.007
194.0           1.0         1.0      0.000
195.0           1.0         1.0      0.000
196.0           1.0         1.0      0.002
197.0           1.0         1.0      0.092
198.0           1.0         1.0      0.041
199.0           2.0         2.0      0.714
200.0           2.0         2.0      0.919
201.0           2.0         2.0      0.999
202.0           2.0         1.0      0.251
203.0           2.0         2.0      1.000
204.0           2.0         2.0      1.000
205.0           2.0         2.0      0.947
206.0           2.0         2.0      0.841
207.0           2.0         2.0      0.874
208.0           2.0         2.0      0.704
209.0           2.0         2.0      0.995
210.0           2.0         2.0      0.979
211.0           2.0         2.0      0.996
212.0           2.0         2.0      0.990
213.0           2.0         2.0      0.999
214.0           2.0         2.0      0.993
215.0           1.0         1.0      0.000
216.0           1.0         1.0      0.001
217.0           1.0         1.0      0.239
218.0           1.0         1.0      0.002
219.0           1.0         2.0      0.640
220.0           1.0         1.0      0.014
221.0           1.0         2.0      0.918
222.0           1.0         1.0      0.000
223.0           1.0         2.0      0.588
224.0           1.0         2.0      0.952
225.0           1.0         1.0      0.000
226.0           1.0         1.0      0.004
227.0           1.0         1.0      0.022
228.0           1.0         1.0      0.000
229.0           2.0         2.0      0.956
230.0           2.0         2.0      0.999
231.0           2.0         2.0      0.999
232.0           2.0         2.0      0.992
233.0           2.0         2.0      0.981
234.0           2.0         1.0      0.017
235.0           2.0         2.0      0.953
236.0           2.0         1.0      0.434
237.0           2.0         2.0      1.000
238.0           2.0         1.0      0.254
239.0           2.0         2.0      0.999
240.0           2.0         2.0      0.876
241.0           2.0         2.0      0.996
242.0           2.0         2.0      0.968
243.0           2.0         2.0      0.988
244.0           2.0         1.0      0.398
245.0           1.0         1.0      0.012
246.0           1.0         1.0      0.043
247.0           1.0         1.0      0.000
248.0           1.0         2.0      0.590
249.0           1.0         1.0      0.000
250.0           1.0         1.0      0.012
251.0           1.0         1.0      0.070
252.0           1.0         1.0      0.012
253.0           1.0         1.0      0.000
254.0           1.0         1.0      0.004
255.0           1.0         1.0      0.292
256.0           1.0         1.0      0.007
257.0           1.0         1.0      0.350
258.0           1.0         1.0      0.032
259.0           2.0         2.0      0.998
260.0           2.0         2.0      0.919
261.0           2.0         2.0      0.966
262.0           2.0         2.0      0.990
263.0           2.0         2.0      0.653
264.0           2.0         2.0      0.966
265.0           2.0         1.0      0.101
266.0           2.0         2.0      0.989
267.0           2.0         2.0      0.739
268.0           2.0         2.0      0.998
269.0           2.0         1.0      0.030
270.0           2.0         1.0      0.235
271.0           2.0         2.0      0.963
272.0           2.0         2.0      0.996
273.0           2.0         2.0      0.877
274.0           2.0         2.0      0.705
275.0           1.0         1.0      0.000
276.0           1.0         1.0      0.105
277.0           1.0         1.0      0.002
278.0           1.0         1.0      0.002
279.0           1.0         1.0      0.000
280.0           1.0         1.0      0.002
281.0           1.0         1.0      0.311
282.0           1.0         2.0      0.973
283.0           1.0         1.0      0.148
284.0           1.0         1.0      0.000
285.0           1.0         1.0      0.001
286.0           1.0         1.0      0.122
287.0           1.0         1.0      0.000
288.0           2.0         2.0      0.995
289.0           2.0         2.0      0.998
290.0           2.0         2.0      0.861
291.0           2.0         2.0      1.000
292.0           2.0         2.0      0.983
293.0           2.0         2.0      0.674
294.0           2.0         2.0      0.994
295.0           2.0         2.0      0.999
296.0           2.0         2.0      0.705
297.0           2.0         2.0      0.970
298.0           2.0         2.0      0.952
299.0           2.0         2.0      0.999
300.0           2.0         2.0      1.000
301.0           2.0         2.0      0.847
302.0           2.0         2.0      0.995
303.0           2.0         2.0      0.820

Confusion Matrix (Resubstitution)
Resub Class     1    2
Actual Class          
1             115   24
2              21  143

Model Summary (Resubstitution)
Overall accuracy = 0.851
Sensitivity = 0.872
Specificity = 0.827
