2타,3타,B4,HR,OPS,WAR,WOBA,WPA,WRC+,age,batter_name,g,position,team,year,year_born,고4,도루,도실,득점,루타,병살,사구,삼진,안타,장타,출루,타석,타수,타율,타점,희비,희타
20,2,36,21,0.846,4.75,0.373,,124.2,29,진갑용,126,C,삼성,2003,1974-05-08,3,1,1,64,213,13,10,34,126,0.490,0.356,485,435,0.290,53,2,2
20,0,34,24,0.831,4.53,0.371,,121.0,30,진갑용,129,C,삼성,2004,1974-05-08,2,0,0,60,214,16,12,51,122,0.487,0.344,491,439,0.278,71,4,2
17,0,36,6,0.754,2.96,0.342,,106.0,31,진갑용,110,C,삼성,2005,1974-05-08,1,1,1,34,135,8,8,47,100,0.389,0.365,406,347,0.288,41,4,11
22,0,29,6,0.743,3.19,0.339,,113.5,32,진갑용,110,C,삼성,2006,1974-05-08,0,1,2,28,143,18,5,37,103,0.399,0.343,408,358,0.288,47,7,9
12,0,49,5,0.664,2.24,0.316,,89.9,33,진갑용,122,C,삼성,2007,1974-05-08,2,0,1,28,116,9,7,38,89,0.320,0.344,427,362,0.246,39,4,5
7,0,30,11,0.775,2.44,0.349,,109.8,34,진갑용,105,C,삼성,2008,1974-05-08,3,1,1,34,116,6,1,41,76,0.426,0.349,313,272,0.279,45,4,6
3,1,15,3,0.652,0.38,0.300,,67.0,35,진갑용,57,C,삼성,2009,1974-05-08,0,1,2,10,47,5,4,23,33,0.331,0.321,165,142,0.232,20,1,3
8,0,45,10,0.784,2.26,0.348,,103.8,36,진갑용,100,C,삼성,2010,1974-05-08,2,0,0,36,106,7,2,57,68,0.409,0.375,320,259,0.263,28,1,13
7,0,35,10,0.759,2.57,0.349,,109.2,37,진갑용,112,C,삼성,2011,1974-05-08,2,1,0,26,115,10,3,53,78,0.402,0.357,331,286,0.273,42,1,6
15,1,17,6,0.773,3.10,0.352,,119.5,38,진갑용,114,C,삼성,2012,1974-05-08,1,0,0,27,131,6,7,46,96,0.419,0.354,349,313,0.307,57,2,10
9,0,12,6,0.750,1.34,0.341,,99.3,39,진갑용,101,C,삼성,2013,1974-05-08,0,0,0,22,76,5,5,28,49,0.420,0.330,204,181,0.271,36,2,4
0,0,0,0,0.824,0.12,0.387,-0.08,118.7,40,진갑용,11,C,삼성,2014,1974-05-08,0,0,0,2,7,0,0,1,7,0.412,0.412,17,17,0.412,4,0,0
2,0,4,3,0.842,0.29,0.372,0.07,114.7,41,진갑용,39,C,삼성,2015,1974-05-08,0,0,0,8,33,3,0,9,22,0.485,0.356,73,68,0.324,10,1,0
0,0,0,0,0.000,-0.07,0.000,-0.03,-134.8,22,강민국,6,SS,NC,2014,1992-01-10,0,0,0,0,0,0,0,0,0,0.000,0.000,3,3,0.000,0,0,0
0,0,0,0,0.000,-0.05,0.000,-0.03,-132.4,23,강민국,1,2B,NC,2015,1992-01-10,0,0,0,0,0,0,0,1,0,0.000,0.000,2,2,0.000,0,0,0
1,0,2,1,0.504,-0.15,0.216,-0.13,7.9,24,강민국,24,SS,NC,2016,1992-01-10,0,0,0,2,7,1,0,9,3,0.304,0.200,26,23,0.130,1,0,1
0,0,0,0,0.500,-0.03,0.230,-0.00,23.9,26,강민국,6,,NC,2018,1992-01-10,0,0,0,0,1,0,0,0,1,0.250,0.250,4,4,0.250,0,0,0
0,0,0,0,0.000,-0.13,0.000,,-133.3,19,강민호,3,C,롯데,2004,1985-08-18,0,0,0,0,0,0,0,3,0,0.000,0.000,6,5,0.000,0,0,1
11,2,5,2,0.608,0.21,0.269,,54.6,20,강민호,104,C,롯데,2005,1985-08-18,0,1,4,20,73,7,2,56,52,0.341,0.267,230,214,0.243,18,0,9
20,0,23,9,0.673,2.63,0.305,,89.4,21,강민호,126,C,롯데,2006,1985-08-18,2,4,1,40,150,5,11,78,103,0.366,0.307,460,410,0.251,53,2,14
20,0,37,14,0.756,3.32,0.337,,105.2,22,강민호,125,C,롯데,2007,1985-08-18,1,1,4,48,174,10,4,88,112,0.421,0.335,474,413,0.271,68,3,17
25,1,49,19,0.850,5.37,0.387,,136.5,23,강민호,122,C,롯데,2008,1985-08-18,1,2,4,51,211,13,7,77,127,0.485,0.365,501,435,0.292,82,10,0
13,0,33,9,0.758,1.80,0.342,,94.8,24,강민호,83,C,롯데,2009,1985-08-18,1,0,0,36,108,9,3,44,68,0.412,0.346,301,262,0.260,30,3,0
19,1,42,23,0.901,5.04,0.400,,138.5,25,강민호,117,C,롯데,2010,1985-08-18,1,2,7,66,215,16,8,65,125,0.524,0.376,465,410,0.305,72,5,0
25,2,47,19,0.846,5.38,0.388,,135.2,26,강민호,124,C,롯데,2011,1985-08-18,2,4,6,63,216,18,8,81,130,0.480,0.366,506,450,0.289,66,1,0
21,0,44,19,0.822,5.00,0.380,,139.2,27,강민호,119,C,롯데,2012,1985-08-18,2,0,1,41,187,9,8,97,109,0.468,0.355,454,400,0.273,66,2,0
13,0,60,11,0.743,3.09,0.351,,106.0,28,강민호,105,C,롯데,2013,1985-08-18,3,4,1,48,123,5,11,87,77,0.376,0.366,405,327,0.235,57,6,1
14,2,33,16,0.767,1.45,0.336,-0.40,82.7,29,강민호,98,C,롯데,2014,1985-08-18,3,1,2,37,137,6,13,92,71,0.442,0.325,360,310,0.229,40,4,0
18,1,60,35,1.061,5.23,0.451,4.59,164.9,30,강민호,123,C,롯데,2015,1985-08-18,2,0,0,63,243,14,14,112,118,0.639,0.421,456,380,0.311,86,2,0
26,0,66,20,0.981,5.00,0.434,5.06,147.7,31,강민호,116,C,롯데,2016,1985-08-18,4,4,0,65,209,7,10,91,123,0.549,0.433,460,381,0.323,72,3,0
22,1,41,22,0.844,3.51,0.367,0.96,110.8,32,강민호,130,C,롯데,2017,1985-08-18,6,0,2,62,220,15,15,104,130,0.482,0.361,515,456,0.285,68,3,0
14,0,29,22,0.788,1.97,0.337,-0.83,90.2,33,강민호,129,C,삼성,2018,1985-08-18,5,0,0,46,195,11,14,96,115,0.457,0.331,477,427,0.269,71,7,0
32,2,52,29,0.879,2.10,0.375,2.81,115.3,19,강백호,138,LF,KT,2018,1999-07-29,0,3,5,108,276,4,3,124,153,0.524,0.356,585,527,0.290,84,3,0
3,1,11,6,0.665,0.00,0.292,,74.9,25,강병식,89,LF,현대,2002,1977-04-23,0,0,2,16,50,5,3,35,27,0.385,0.281,147,130,0.208,20,2,1
0,1,12,2,0.544,-0.15,0.261,,46.7,26,강병식,43,,현대,2003,1977-04-23,0,0,1,6,17,1,1,17,9,0.262,0.282,79,65,0.138,11,0,1
1,0,3,0,0.521,-0.03,0.256,,43.5,27,강병식,16,,현대,2004,1977-04-23,0,1,0,0,4,1,0,5,3,0.235,0.286,21,17,0.176,1,1,0
10,0,27,6,0.758,1.06,0.350,,111.5,28,강병식,94,LF,현대,2005,1977-04-23,0,2,0,25,73,6,4,44,45,0.401,0.357,215,182,0.247,20,0,2
7,1,19,4,0.709,0.59,0.336,,111.8,29,강병식,93,1B,현대,2006,1977-04-23,0,1,1,16,50,7,4,28,29,0.376,0.333,156,133,0.218,25,0,0
4,0,13,4,0.726,0.38,0.336,,104.1,30,강병식,91,1B,현대,2007,1977-04-23,1,0,1,11,53,5,0,24,37,0.393,0.333,150,135,0.274,17,2,0
8,0,14,4,0.792,0.63,0.357,,114.4,31,강병식,71,RF,히어로즈,2008,1977-04-23,1,0,2,12,52,2,3,18,32,0.437,0.355,141,119,0.269,17,2,3
4,0,13,2,0.758,0.21,0.350,,100.1,32,강병식,54,1B,히어로즈,2009,1977-04-23,0,2,2,9,29,0,3,21,19,0.382,0.376,94,76,0.250,14,1,1
9,1,34,9,0.830,1.41,0.379,,125.3,33,강병식,107,DH,넥센,2010,1977-04-23,2,2,2,32,110,5,11,51,72,0.438,0.391,300,251,0.287,30,3,1
8,1,15,2,0.518,-0.98,0.244,,37.5,34,강병식,77,DH,넥센,2011,1977-04-23,0,2,0,16,45,3,2,53,29,0.269,0.249,189,167,0.174,17,1,4
2,0,5,0,0.600,-0.02,0.302,,84.4,35,강병식,26,DH,넥센,2012,1977-04-23,0,1,1,4,8,0,1,9,6,0.267,0.333,36,30,0.200,2,0,0
0,0,0,0,0.000,0.01,0.000,,,22,강봉규,1,,두산,2000,1978-01-12,0,0,0,0,0,0,0,1,0,0.000,0.000,1,1,0.000,0,0,0
7,1,6,2,0.696,0.12,0.311,,73.4,23,강봉규,64,RF,두산,2001,1978-01-12,0,2,0,16,36,1,1,28,21,0.404,0.292,97,89,0.236,11,0,1
6,1,16,5,0.718,0.58,0.315,,90.2,24,강봉규,93,RF,두산,2002,1978-01-12,1,6,1,30,63,4,2,43,40,0.394,0.324,182,160,0.250,25,1,3
0,0,2,1,0.795,0.12,0.354,,111.8,25,강봉규,6,,두산,2003,1978-01-12,0,1,0,3,6,1,0,2,3,0.462,0.333,15,13,0.231,3,0,0
2,1,10,1,0.671,0.27,0.313,,81.5,26,강봉규,40,,두산,2004,1978-01-12,0,2,1,14,24,0,1,20,17,0.333,0.337,85,72,0.236,5,0,2
3,1,18,1,0.674,0.32,0.320,,90.6,27,강봉규,48,LF,두산,2005,1978-01-12,1,2,1,12,32,2,2,30,24,0.314,0.361,124,102,0.235,10,0,2
6,1,13,4,0.696,0.29,0.321,,100.7,28,강봉규,87,DH,삼성,2006,1978-01-12,0,4,3,16,50,2,1,33,30,0.391,0.306,145,128,0.234,16,2,1
9,1,16,1,0.750,0.84,0.345,,110.6,29,강봉규,83,RF,삼성,2007,1978-01-12,0,4,2,20,54,4,5,25,40,0.380,0.370,170,142,0.282,13,2,5
8,0,19,3,0.779,0.81,0.362,,118.3,30,강봉규,81,LF,삼성,2008,1978-01-12,0,3,4,27,54,3,3,28,37,0.403,0.376,160,134,0.276,14,1,3
24,2,69,20,0.911,4.44,0.401,,134.1,31,강봉규,126,RF,삼성,2009,1978-01-12,2,20,3,89,227,15,4,61,139,0.506,0.405,529,449,0.310,78,1,6
12,0,40,4,0.693,0.83,0.327,,90.0,32,강봉규,89,LF,삼성,2010,1978-01-12,0,8,0,38,79,8,2,44,55,0.341,0.353,279,232,0.237,26,1,4
7,1,17,1,0.697,0.58,0.331,,97.2,33,강봉규,52,LF,삼성,2011,1978-01-12,0,3,1,14,51,3,2,24,39,0.349,0.347,168,146,0.267,18,2,0
10,1,28,6,0.715,1.11,0.331,,104.5,34,강봉규,102,LF,삼성,2012,1978-01-12,1,5,3,30,90,5,2,49,60,0.383,0.332,274,235,0.255,38,6,3
5,0,14,0,0.595,0.02,0.295,,67.5,35,강봉규,32,LF,삼성,2013,1978-01-12,0,3,0,11,22,5,1,19,17,0.268,0.327,99,82,0.207,5,1,1
0,0,1,0,0.250,-0.09,0.187,-0.10,-11.2,37,강봉규,5,1B,삼성,2015,1978-01-12,0,0,0,0,0,0,1,3,0,0.000,0.250,8,6,0.000,0,0,0
1,0,0,0,0.500,-0.07,0.222,0.04,16.8,20,강상원,33,LF,한화,2017,1997-05-05,0,0,0,7,4,0,0,5,3,0.286,0.214,14,14,0.214,1,0,0
0,0,1,0,0.143,-0.11,0.104,-0.04,-63.9,21,강상원,6,RF,한화,2018,1997-05-05,0,1,0,0,0,0,0,2,0,0.000,0.143,7,6,0.000,0,0,0
3,0,2,0,0.483,-0.31,0.222,-0.39,10.3,22,강승호,18,SS,LG,2016,1994-02-09,0,0,0,4,10,0,0,12,7,0.263,0.220,41,38,0.184,3,1,0
14,2,7,5,0.655,-0.08,0.282,-0.57,58.8,23,강승호,85,2B,LG,2017,1994-02-09,0,2,2,42,95,5,3,67,62,0.383,0.272,268,248,0.250,31,7,3
10,0,18,3,0.689,-0.02,0.305,-0.23,71.8,24,강승호,69,2B,"LG,SK",2018,1994-02-09,0,1,1,14,66,2,3,57,47,0.359,0.330,212,184,0.255,31,1,6
6,0,9,2,0.846,0.55,0.367,0.20,111.4,24,강승호,37,2B,SK,,1994-02-09,0,0,0,10,41,1,1,27,29,0.456,0.390,103,90,0.322,21,0,3
4,0,9,1,0.540,-0.63,0.246,-0.43,33.8,24,강승호,32,2B,LG,,1994-02-09,0,1,1,4,25,1,2,30,18,0.266,0.274,109,94,0.191,10,1,3
1,0,0,0,0.350,-0.23,0.154,,-18.3,19,강정호,10,,현대,2006,1987-04-05,0,0,1,1,4,1,0,8,3,0.200,0.150,21,20,0.150,1,0,1
0,0,0,0,0.267,-0.17,0.127,,-40.9,20,강정호,20,3B,현대,2007,1987-04-05,0,0,0,0,2,1,0,5,2,0.133,0.133,15,15,0.133,0,0,0
18,1,31,8,0.726,2.41,0.334,,99.4,21,강정호,116,SS,히어로즈,2008,1987-04-05,1,3,1,36,142,12,5,65,98,0.392,0.334,408,362,0.271,47,3,7
33,2,45,23,0.858,3.98,0.368,,112.0,22,강정호,133,SS,히어로즈,2009,1987-04-05,2,3,2,73,242,18,4,81,136,0.508,0.349,538,476,0.286,81,5,8
30,2,61,12,0.848,4.79,0.383,,127.6,23,강정호,133,SS,넥센,2010,1987-04-05,6,2,2,60,205,14,7,87,135,0.457,0.391,522,449,0.301,58,2,3
22,2,43,9,0.754,3.43,0.349,,109.4,24,강정호,123,SS,넥센,2011,1987-04-05,4,4,6,53,178,12,9,62,125,0.401,0.353,504,444,0.282,63,5,3
32,0,71,25,0.973,8.23,0.438,,179.8,25,강정호,124,SS,넥센,2012,1987-04-05,8,21,5,77,244,16,6,78,137,0.560,0.413,519,436,0.314,82,5,1
21,1,68,22,0.876,5.55,0.398,,138.0,26,강정호,126,SS,넥센,2013,1987-04-05,3,15,8,67,220,18,6,109,131,0.489,0.387,532,450,0.291,96,6,2
36,2,68,40,1.198,8.05,0.500,7.25,185.6,27,강정호,117,SS,넥센,2014,1987-04-05,2,3,3,103,309,8,13,106,149,0.739,0.459,501,418,0.356,117,2,0
1,0,1,0,1.667,0.10,0.687,,335.8,20,강진성,3,3B,NC,2013,1993-10-19,0,0,0,1,2,0,0,0,1,1.000,0.667,3,2,0.500,0,0,0
3,0,4,1,0.925,0.21,0.408,-0.14,139.7,24,강진성,28,,NC,2017,1993-10-19,0,0,0,5,14,1,1,4,8,0.519,0.406,32,27,0.296,5,0,0
3,0,4,0,0.553,-0.38,0.248,-1.00,35.2,25,강진성,45,LF,NC,2018,1993-10-19,0,0,0,5,19,3,0,17,16,0.279,0.274,75,68,0.235,1,1,2
5,4,8,0,0.621,-0.04,0.279,-0.92,46.8,23,강한울,93,SS,KIA,2014,1991-09-12,0,4,2,32,68,1,1,44,55,0.327,0.294,224,208,0.264,14,1,6
8,3,13,0,0.508,-1.39,0.229,-1.36,18.5,24,강한울,90,SS,KIA,2015,1991-09-12,0,9,4,30,68,2,3,51,54,0.258,0.250,292,264,0.205,12,0,12
13,3,15,0,0.642,-0.18,0.291,-0.74,55.3,25,강한울,104,SS,KIA,2016,1991-09-12,0,7,3,36,100,2,0,46,81,0.336,0.307,322,298,0.272,27,0,9
9,3,26,0,0.684,1.02,0.312,-1.46,77.8,26,강한울,135,SS,삼성,2017,1991-09-12,0,12,7,58,140,4,0,57,125,0.340,0.344,448,412,0.303,24,1,9
5,2,12,0,0.612,-0.28,0.279,-1.19,55.0,27,강한울,83,2B,삼성,2018,1991-09-12,0,3,4,20,59,1,1,34,50,0.306,0.306,209,193,0.259,8,0,3
0,0,0,0,0.500,-0.01,0.239,,30.9,23,고도현,4,CF,롯데,2013,1990-10-13,0,0,0,0,1,0,0,2,1,0.250,0.250,4,4,0.250,1,0,0
0,0,0,0,0.571,-0.02,0.268,-0.20,45.9,24,고도현,4,LF,롯데,2014,1990-10-13,0,0,0,0,2,0,0,2,2,0.286,0.286,7,7,0.286,1,0,0
12,0,7,5,0.856,1.63,0.384,,129.9,24,고동진,51,,한화,2004,1980-04-01,0,8,2,27,78,1,7,40,51,0.484,0.371,178,161,0.317,19,0,3
14,0,23,3,0.600,0.20,0.289,,71.2,25,고동진,94,RF,한화,2005,1980-04-01,0,11,3,42,73,4,16,45,50,0.292,0.308,291,250,0.200,11,0,2
14,2,21,4,0.621,0.77,0.289,,79.1,26,고동진,120,RF,한화,2006,1980-04-01,1,16,4,40,119,6,12,80,89,0.322,0.299,414,370,0.241,29,5,6
8,5,50,1,0.657,1.34,0.313,,88.6,27,고동진,124,RF,한화,2007,1980-04-01,2,10,4,68,119,6,16,67,98,0.302,0.355,473,394,0.249,37,2,11
5,0,6,0,0.545,-0.25,0.252,,44.7,28,고동진,31,RF,한화,2008,1980-04-01,0,2,0,14,24,4,0,13,19,0.276,0.269,97,87,0.218,5,0,4
9,0,15,3,0.663,0.66,0.308,,81.4,31,고동진,97,CF,한화,2011,1980-04-01,0,3,2,31,67,5,5,33,49,0.344,0.319,222,195,0.251,19,1,6
12,0,38,3,0.713,1.18,0.334,,107.0,32,고동진,110,RF,한화,2012,1980-04-01,1,8,9,32,97,10,5,48,76,0.345,0.367,334,281,0.270,29,0,10
14,0,34,1,0.677,0.45,0.326,,88.8,33,고동진,93,RF,한화,2013,1980-04-01,0,4,8,31,102,11,6,54,85,0.327,0.350,360,312,0.272,31,5,3
5,0,18,1,0.593,-0.71,0.281,-1.49,45.3,34,고동진,73,RF,한화,2014,1980-04-01,0,0,2,21,53,2,2,35,45,0.283,0.310,213,187,0.241,14,3,3
4,0,2,0,0.483,-0.69,0.217,-0.53,9.6,35,고동진,27,RF,한화,2015,1980-04-01,0,0,0,5,14,3,4,13,10,0.237,0.246,70,59,0.169,7,0,5
31,0,25,21,0.814,2.19,0.353,-0.08,95.5,28,고메즈,117,SS,SK,2016,1988-03-05,2,16,8,74,223,11,5,87,129,0.489,0.325,492,456,0.283,62,4,2
0,0,0,0,0.000,-0.05,0.000,-0.01,-130.7,19,고명성,5,SS,KT,2018,1999-04-16,0,0,0,0,0,0,0,0,0,0.000,0.000,2,2,0.000,0,0,0
0,0,0,0,0.200,-0.18,0.092,,-70.2,18,고영민,16,,두산,2002,1984-02-08,0,1,1,1,1,0,0,1,1,0.100,0.100,10,10,0.100,1,0,0
0,0,0,0,0.462,-0.05,0.215,,11.9,19,고영민,32,,두산,2003,1984-02-08,0,1,0,2,3,0,0,3,3,0.231,0.231,13,13,0.231,0,0,0
0,0,0,0,0.284,-0.19,0.146,,-30.7,21,고영민,16,,두산,2005,1984-02-08,0,0,0,2,2,0,1,9,2,0.118,0.167,18,17,0.118,0,0,0
15,5,24,2,0.712,2.26,0.331,,108.1,22,고영민,116,2B,두산,2006,1984-02-08,0,14,10,38,116,6,12,59,85,0.368,0.344,359,315,0.270,29,1,7
29,1,61,12,0.792,4.91,0.365,,124.7,23,고영민,126,2B,두산,2007,1984-02-08,1,36,10,89,186,9,17,105,119,0.419,0.373,536,444,0.268,66,6,8
15,3,74,9,0.767,4.65,0.363,,119.1,24,고영민,126,2B,두산,2008,1984-02-08,0,39,9,84,162,10,14,109,114,0.379,0.388,528,427,0.267,70,6,7
11,3,33,6,0.699,1.26,0.325,,82.6,25,고영민,85,2B,두산,2009,1984-02-08,0,12,4,59,101,3,13,76,66,0.359,0.339,331,281,0.235,29,3,1
10,1,34,6,0.623,0.74,0.297,,70.0,26,고영민,100,2B,두산,2010,1984-02-08,1,11,3,53,90,4,14,67,60,0.307,0.316,344,293,0.205,35,1,2
5,1,18,3,0.607,0.20,0.287,,67.0,27,고영민,93,2B,두산,2011,1984-02-08,0,6,6,31,53,4,7,50,37,0.301,0.305,208,176,0.210,16,2,5
10,1,13,3,0.739,1.25,0.336,,108.5,28,고영민,58,2B,두산,2012,1984-02-08,0,7,1,33,61,5,3,28,40,0.404,0.335,173,151,0.265,26,0,5
1,0,3,1,0.983,0.22,0.424,,156.6,29,고영민,10,2B,두산,2013,1984-02-08,1,1,0,3,8,1,0,5,4,0.571,0.412,17,14,0.286,1,0,0
2,0,11,1,0.696,0.28,0.325,0.15,81.7,30,고영민,52,2B,두산,2014,1984-02-08,0,1,1,18,32,3,0,18,27,0.340,0.355,108,94,0.287,7,2,1
1,0,6,3,0.880,0.68,0.397,-0.60,138.8,31,고영민,41,1B,두산,2015,1984-02-08,0,4,2,13,32,4,3,22,22,0.478,0.403,77,67,0.328,11,1,0
1,0,1,0,0.900,0.04,0.404,-0.17,131.2,32,고영민,8,,두산,2016,1984-02-08,0,0,0,1,2,0,0,1,1,0.500,0.400,5,4,0.250,1,0,0
5,1,6,2,0.548,-0.40,0.243,,33.7,24,이종환,47,LF,KIA,2010,1986-05-08,1,0,0,8,28,0,0,31,15,0.322,0.226,93,87,0.172,13,0,0
2,0,0,1,1.154,0.26,0.522,,240.6,26,이종환,6,RF,KIA,2012,1986-05-08,0,0,0,2,10,0,0,3,5,0.769,0.385,13,13,0.385,3,0,0
9,0,12,1,0.730,0.52,0.346,,102.9,27,이종환,42,RF,KIA,2013,1986-05-08,0,1,0,6,47,1,0,30,35,0.382,0.348,135,123,0.285,12,0,0
9,0,11,2,0.763,0.35,0.344,0.39,91.0,28,이종환,92,RF,KIA,2014,1986-05-08,0,0,2,14,50,1,2,33,35,0.410,0.353,138,122,0.287,23,1,2
4,0,6,0,0.660,-0.08,0.310,-0.20,70.5,29,이종환,44,DH,"KIA,한화",2015,1986-05-08,0,0,0,14,33,0,0,21,29,0.330,0.330,106,100,0.290,12,0,0
1,0,2,0,0.528,-0.09,0.256,-0.19,36.5,29,이종환,13,DH,KIA,,1986-05-08,0,0,0,1,4,0,0,6,3,0.250,0.278,18,16,0.188,0,0,0
3,0,4,0,0.686,0.04,0.321,-0.01,77.2,29,이종환,31,DH,한화,,1986-05-08,0,0,0,13,29,0,0,15,26,0.345,0.341,88,84,0.310,12,0,0
1,0,3,0,0.644,-0.14,0.278,-0.28,47.9,30,이종환,31,,한화,2016,1986-05-08,2,0,0,3,9,1,0,10,8,0.310,0.333,33,29,0.276,4,1,0
0,0,0,0,0.000,-0.05,0.000,-0.33,-132.7,31,이종환,1,,한화,2017,1986-05-08,0,0,0,0,0,0,0,1,0,0.000,0.000,2,2,0.000,0,0,0
5,4,5,1,0.679,0.30,0.309,,82.2,22,고종욱,54,CF,넥센,2011,1989-01-11,0,7,6,12,42,0,0,26,26,0.400,0.279,111,105,0.248,9,1,0
0,0,2,0,0.143,-0.21,0.106,-0.12,-65.1,25,고종욱,8,LF,넥센,2014,1989-01-11,0,1,0,2,0,0,0,4,0,0.000,0.143,14,12,0.000,0,0,0
25,4,25,10,0.822,1.09,0.364,1.29,108.7,26,고종욱,119,LF,넥센,2015,1989-01-11,1,22,14,81,189,10,6,81,126,0.464,0.358,443,407,0.310,51,1,4
22,9,28,8,0.825,2.36,0.373,4.38,105.4,27,고종욱,133,LF,넥센,2016,1989-01-11,1,28,14,92,240,10,5,103,176,0.455,0.370,566,527,0.334,72,5,1
24,8,22,8,0.811,1.82,0.357,0.58,104.2,28,고종욱,123,LF,넥센,2017,1989-01-11,2,16,4,70,197,11,3,92,133,0.462,0.349,453,426,0.312,54,2,0
22,0,15,6,0.709,-0.30,0.309,1.03,74.1,29,고종욱,102,LF,넥센,2018,1989-01-11,1,17,4,47,132,2,1,96,92,0.400,0.309,351,330,0.279,54,4,1
33,5,45,11,0.951,4.99,0.422,1.81,148.4,22,구자욱,116,1B,삼성,2015,1993-02-12,0,17,7,97,219,3,6,79,143,0.534,0.417,465,410,0.349,57,4,0
19,13,55,14,0.967,3.96,0.427,4.99,142.5,23,구자욱,108,1B,삼성,2016,1993-02-12,1,10,5,105,234,4,5,68,147,0.547,0.420,495,428,0.343,77,5,2
39,10,63,21,0.910,4.96,0.394,3.11,130.6,24,구자욱,144,RF,삼성,2017,1993-02-12,1,10,4,108,297,1,10,138,175,0.527,0.383,647,564,0.310,107,10,0
